SUBMITTAL_NO,SPEC_SECTION,SECTION_TITLE,DESCRIPTION,TYPE,ACTION,RESPONSIBLE_PARTY,PRIORITY
03-001,03 10 00,CONCRETE FORMING AND ACCESSORIES,Formwork shop drawings and product data,Shop Drawings,Action,Concrete Subcontractor,Normal
03-002,03 20 00,CONCRETE REINFORCING,Rebar shop drawings and mill certificates,Shop Drawings,Action,Concrete Subcontractor,Normal
03-003,03 30 00,CAST-IN-PLACE CONCRETE,Concrete mix design and test reports,Product Data,Action,Concrete Subcontractor,High
03-004,03 35 00,ENGRAVED CONCRETE,Samples and product data for engraved concrete,Samples,Action,Concrete Subcontractor,Normal
03-005,03 35 13,CONCRETE FLOOR FINISHING,Product data for floor finishing materials,Product Data,Action,Concrete Subcontractor,Normal
04-001,04 20 00,UNIT MASONRY,CMU samples and mortar mix design,Samples,Action,Masonry Subcontractor,High
04-002,04 20 00,UNIT MASONRY,Shop drawings for reinforced masonry,Shop Drawings,Action,Masonry Subcontractor,Normal
05-001,05 12 00,STRUCTURAL STEEL FRAMING,Steel shop drawings and mill certificates,Shop Drawings,Action,Steel Subcontractor,High
05-002,05 12 13,ARCHITECTURALLY EXPOSED STRUCTURAL STEEL,Shop drawings and finish samples,Shop Drawings,Action,Steel Subcontractor,High
05-003,05 21 00,STEEL JOIST FRAMING,Joist shop drawings,Shop Drawings,Action,Steel Subcontractor,High
05-004,05 31 00,STEEL DECKING,Deck shop drawings and product data,Shop Drawings,Action,Steel Subcontractor,Normal
05-005,05 40 00,COLD-FORMED METAL FRAMING,Product data and shop drawings,Shop Drawings,Action,Steel Subcontractor,Normal
05-006,05 50 00,METAL FABRICATIONS,Shop drawings for miscellaneous metals,Shop Drawings,Action,Steel Subcontractor,Normal
05-007,05 51 00,METAL STAIRS,Stair shop drawings,Shop Drawings,Action,Steel Subcontractor,Normal
05-008,05 52 13,PIPE AND TUBE RAILINGS,Railing shop drawings and samples,Shop Drawings,Action,Steel Subcontractor,Normal
05-009,05 72 10,ORNAMENTAL METAL RAILINGS,Shop drawings and finish samples,Shop Drawings,Action,Steel Subcontractor,Normal
06-001,06 10 00,ROUGH CARPENTRY,Product data for treated lumber,Product Data,Informational,General Contractor,Normal
06-002,06 41 00,ARCHITECTURAL WOOD CASEWORK,Shop drawings and finish samples,Shop Drawings,Action,Casework Subcontractor,Normal
07-001,07 11 13,BITUMINOUS DAMPPROOFING,Product data,Product Data,Action,Waterproofing Subcontractor,Normal
07-002,07 13 00,SHEET WATERPROOFING,Product data and shop drawings,Product Data,Action,Waterproofing Subcontractor,Normal
07-003,07 21 00,THERMAL INSULATION,Product data for all insulation types,Product Data,Action,Insulation Subcontractor,Normal
07-004,07 26 70,MECHANICALLY-ATTACHED AIR AND MOISTURE BARRIER,Product data and shop drawings,Product Data,Action,Envelope Subcontractor,High
07-005,07 27 10,FLUID-APPLIED MEMBRANE AIR BARRIERS,Product data and installer qualifications,Product Data,Action,Envelope Subcontractor,High
07-006,07 42 13,METAL WALL PANELS,Shop drawings and color samples,Shop Drawings,Action,Metal Panel Subcontractor,High
07-007,07 42 15,PERFORATED METAL PLATE WALL PANELS,Shop drawings and samples,Shop Drawings,Action,Metal Panel Subcontractor,High
07-008,07 50 56,VEGETATED ROOFING SYSTEM ON METAL DECK,Product data and shop drawings,Shop Drawings,Action,Roofing Subcontractor,High
07-009,07 54 16,ADHERED TPO SHEET ROOFING,Product data and warranty documentation,Product Data,Action,Roofing Subcontractor,High
07-010,07 62 00,SHEET METAL FLASHING AND TRIM,Shop drawings,Shop Drawings,Action,Roofing Subcontractor,Normal
07-011,07 71 00,MANUFACTURED ROOF SPECIALTIES,Product data and shop drawings,Shop Drawings,Action,Roofing Subcontractor,Normal
07-012,07 81 00,APPLIED FIREPROOFING,Product data and test reports,Product Data,Action,Fireproofing Subcontractor,Normal
07-013,07 84 00,FIRESTOPPING,Product data for firestop systems,Product Data,Action,Firestop Subcontractor,Normal
07-014,07 90 05,JOINT SEALERS,Product data and color samples,Product Data,Action,General Contractor,Normal
08-001,08 11 13,HOLLOW METAL DOORS AND FRAMES,Shop drawings for all HM doors and frames,Shop Drawings,Action,Door Subcontractor,High
08-002,08 14 16,FLUSH WOOD DOORS,Shop drawings and finish samples,Shop Drawings,Action,Door Subcontractor,High
08-003,08 31 00,ACCESS DOORS AND PANELS,Product data,Product Data,Action,Door Subcontractor,Normal
08-004,08 33 13,COILING COUNTER DOORS,Shop drawings and product data,Shop Drawings,Action,Door Subcontractor,Normal
